dataset,data_type,function,model,score,concept_score,score_avg,score_fmted
essay,D,PLMs,bert-base-uncased,"[(0.8035190615835777, 0.6758601120805845)]",[],"(80.35190615835776, 67.58601120805845)",80.35/67.59
essay,D,PLMs,roberta-base,"[(0.8070175438596491, 0.628719467061436)]",[],"(80.7017543859649, 62.8719467061436)",80.70/62.87
essay,D,PLMs,gpt2,"[(0.7982456140350878, 0.6206597222222222)]",[],"(79.82456140350878, 62.06597222222222)",79.82/62.07
essay,D,PLMs,lstm,[],[],"(0.0, 0.0)",0.00/0.00
essay,D,CBE-PLMs,bert-base-uncased,"[(0.7982456140350878, 0.6206597222222222)]","[(0.6661184210526315, 0.7202871366672238)]","(79.82456140350878, 62.06597222222222)",79.82/62.07
essay,D,CBE-PLMs,roberta-base,"[(0.8157894736842105, 0.6183035714285714)]","[(0.6458333333333334, 0.6952798620146838)]","(81.57894736842105, 61.83035714285714)",81.58/61.83
essay,D,CBE-PLMs,gpt2,"[(0.8157894736842105, 0.6079908301948583)]","[(0.649671052631579, 0.689362415313452)]","(81.57894736842105, 60.799083019485835)",81.58/60.80
essay,D,CBE-PLMs,lstm,[],[],"(0.0, 0.0)",0.00/0.00
