data_type,function,model,score,score_avg,score_fmted
pure_cebab,standard,bert-base-uncased,"[(0.6743635287152161, 0.7864032782784006)]","(67.4363528715216, 78.64032782784007)",67.44/78.64
pure_cebab,standard,roberta-base,"[(0.7169923031379515, 0.8127842496835539)]","(71.69923031379514, 81.2784249683554)",71.70/81.28
pure_cebab,standard,gpt2,"[(0.6341030195381883, 0.7680908175753268)]","(63.41030195381882, 76.80908175753268)",63.41/76.81
pure_cebab,standard,lstm,"[(0.45233866193013617, 0.6512339961611433)]","(45.23386619301362, 65.12339961611433)",45.23/65.12
aug_cebab,standard,bert-base-uncased,"[(0.6896142433234421, 0.7910505696760121)]","(68.96142433234421, 79.1050569676012)",68.96/79.11
aug_cebab,standard,roberta-base,"[(0.6937685459940652, 0.8066258592247427)]","(69.37685459940653, 80.66258592247428)",69.38/80.66
aug_cebab,standard,gpt2,"[(0.6498516320474778, 0.7624899523976547)]","(64.98516320474778, 76.24899523976548)",64.99/76.25
aug_cebab,standard,lstm,"[(0.4, 0.6178231478600068)]","(40.0, 61.78231478600068)",40.00/61.78
