dataset,data_type,function,model,score,concept_score
essay,D,PLMs,bert-base-uncased,[],[]
essay,D,PLMs,roberta-base,[],[]
essay,D,CBE-PLMs,bert-base-uncased,[],[]
essay,D,CBE-PLMs,roberta-base,[],[]
